Seattle WA Regular Conventional Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=emm_epmru_pte_y48se_dpg&f=m
17:41:28 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,Seattle WA Regular Conventional Retail Gasoline Prices Dollars per Gallon
Apr 2022,4.679
Mar 2022,4.711
Feb 2022,4.053
Jan 2022,3.997
Dec 2021,3.899
Nov 2021,3.935
Oct 2021,3.918
Sep 2021,3.924
Aug 2021,3.914
Jul 2021,3.829
Jun 2021,3.674
May 2021,3.569
Apr 2021,3.433
Mar 2021,3.295
Feb 2021,2.981
Jan 2021,2.847
Dec 2020,2.789
Nov 2020,2.796
Oct 2020,2.804
Sep 2020,2.852
Aug 2020,2.848
Jul 2020,2.801
Jun 2020,2.68
May 2020,2.573
Apr 2020,2.619
Mar 2020,2.997
Feb 2020,3.12
Jan 2020,3.141
Dec 2019,3.248
Nov 2019,3.401
Oct 2019,3.373
Sep 2019,3.251
Aug 2019,3.285
Jul 2019,3.366
Jun 2019,3.472
May 2019,3.557
Apr 2019,3.393
Mar 2019,3.028
Feb 2019,3.002
Jan 2019,3.068
Dec 2018,3.216
Nov 2018,3.417
Oct 2018,3.444
Sep 2018,3.307
Aug 2018,3.298
Jul 2018,3.359
Jun 2018,3.404
May 2018,3.394
Apr 2018,3.281
Mar 2018,3.126
Feb 2018,3.042
Jan 2018,2.969
Dec 2017,2.974
Nov 2017,3.001
Oct 2017,2.947
Sep 2017,3.05
Aug 2017,2.871
Jul 2017,2.801
Jun 2017,2.848
May 2017,2.874
Apr 2017,2.876
Mar 2017,2.814
Feb 2017,2.728
Jan 2017,2.727
Dec 2016,2.58
Nov 2016,2.64
Oct 2016,2.697
Sep 2016,2.656
Aug 2016,2.583
Jul 2016,2.642
Jun 2016,2.623
May 2016,2.518
Apr 2016,2.31
Mar 2016,2.23
Feb 2016,2.11
Jan 2016,2.423
Dec 2015,2.457
Nov 2015,2.479
Oct 2015,2.526
Sep 2015,2.761
Aug 2015,3.076
Jul 2015,3.182
Jun 2015,3.124
May 2015,3.052
Apr 2015,2.796
Mar 2015,2.893
Feb 2015,2.373
Jan 2015,2.41
Dec 2014,2.868
Nov 2014,3.113
Oct 2014,3.463
Sep 2014,3.817
Aug 2014,3.91
Jul 2014,3.981
Jun 2014,3.972
May 2014,3.904
Apr 2014,3.824
Mar 2014,3.612
Feb 2014,3.377
Jan 2014,3.4
Dec 2013,3.363
Nov 2013,3.343
Oct 2013,3.573
Sep 2013,3.733
Aug 2013,3.838
Jul 2013,3.886
Jun 2013,3.863
May 2013,3.936
Apr 2013,3.71
Mar 2013,3.85
Feb 2013,3.686
Jan 2013,3.431
Dec 2012,3.407
Nov 2012,3.576
Oct 2012,4.011
Sep 2012,4.048
Aug 2012,3.901
Jul 2012,3.63
Jun 2012,4.09
May 2012,4.23
Apr 2012,4.147
Mar 2012,4.075
Feb 2012,3.717
Jan 2012,3.517
Dec 2011,3.544
Nov 2011,3.743
Oct 2011,3.815
Sep 2011,3.882
Aug 2011,3.797
Jul 2011,3.804
Jun 2011,3.887
May 2011,4.02
Apr 2011,3.891
Mar 2011,3.705
Feb 2011,3.375
Jan 2011,3.238
Dec 2010,3.163
Nov 2010,3.084
Oct 2010,3.021
Sep 2010,2.984
Aug 2010,3.072
Jul 2010,2.991
Jun 2010,2.955
May 2010,3.03
Apr 2010,3.05
Mar 2010,2.96
Feb 2010,2.803
Jan 2010,2.85
Dec 2009,2.784
Nov 2009,2.815
Oct 2009,2.775
Sep 2009,2.915
Aug 2009,2.82
Jul 2009,2.73
Jun 2009,2.776
May 2009,2.457
Apr 2009,2.296
Mar 2009,2.159
Feb 2009,2.149
Jan 2009,1.992
Dec 2008,1.839
Nov 2008,2.305
Oct 2008,3.193
Sep 2008,3.748
Aug 2008,3.984
Jul 2008,4.289
Jun 2008,4.285
May 2008,3.84
Apr 2008,3.567
Mar 2008,3.465
Feb 2008,3.107
Jan 2008,3.113
Dec 2007,3.13
Nov 2007,3.204
Oct 2007,2.971
Sep 2007,2.855
Aug 2007,2.787
Jul 2007,2.946
Jun 2007,3.15
May 2007,3.397
Apr 2007,3.098
Mar 2007,2.742
Feb 2007,2.455
Jan 2007,2.616
Dec 2006,2.605
Nov 2006,2.463
Oct 2006,2.497
Sep 2006,2.782
Aug 2006,2.995
Jul 2006,3.012
Jun 2006,3.089
May 2006,3.115
Apr 2006,2.733
Mar 2006,2.416
Feb 2006,2.256
Jan 2006,2.213
Dec 2005,2.194
Nov 2005,2.455
Oct 2005,2.767
Sep 2005,2.869
Aug 2005,2.606
Jul 2005,2.414
Jun 2005,2.28
May 2005,2.418
Apr 2005,2.427
Mar 2005,2.146
Feb 2005,1.93
Jan 2005,1.811
Dec 2004,1.905
Nov 2004,2.034
Oct 2004,2.053
Sep 2004,1.988
Aug 2004,1.942
Jul 2004,1.99
Jun 2004,2.194
May 2004,2.216
Apr 2004,1.922
Mar 2004,1.807
Feb 2004,1.689
Jan 2004,1.599
Dec 2003,1.495
Nov 2003,1.55
Oct 2003,1.617
Sep 2003,1.85
Aug 2003,1.745
Jul 2003,1.586
Jun 2003,1.553
